Number of outputs,Time in ms,Throughput
1,1,550.66077
10,0,35842.297
100,1,92081.03
1000,24,40899.793
10000,95,105088.38
100000,846,118166.3
200000,2778,71970.25
300000,5456,54976.24
400000,8801,45445.516
500000,12018,41601.53
600000,21997,27275.219
700000,27474,25478.016
800000,58028,13786.416
900000,49946,18019.27
