Number of outputs,Time in ms,Throughput
1,6,162.1271
10,0,31347.965
100,1,96711.8
1000,70,14234.673
10000,130,76538.03
100000,1095,91301.35
200000,2591,77180.95
300000,6875,43631.156
400000,10452,38269.754
500000,11987,41711.42
600000,20380,29439.92
700000,22210,31516.348
800000,34373,23274.078
900000,47681,18875.162
