Number of outputs,Time in ms,Throughput
1,12,80.63866
10,0,27173.912
100,1,86430.42
1000,8,112019.72
10000,110,90528.87
100000,1952,51214.973
200000,2629,76057.66
300000,9917,30248.434
400000,8501,47048.805
500000,13179,37938.35
600000,20031,29952.379
700000,29899,23411.625
800000,33570,23830.146
900000,47396,18988.785
