Number of outputs,Time in ms,Throughput
1,3,290.9514
10,1,9025.271
100,2,45516.613
1000,40,24983.137
10000,183,54354.918
100000,1406,71104.945
200000,5296,37758.504
300000,14587,20565.555
400000,13141,30438.357
500000,18660,26793.86
600000,35038,17124.25
